ticker,score_5,score_20
BALY,51.74450061910843,28.51658860003803
BANC,87.49823896903244,38.30953996990278
BAX,56.61003702722703,20.43570169405557
BBAI,31.727086356524623,11.84620230763085
BBDC,16.555095131968663,21.27309425310048
BBW,22.01047846342327,58.25513110868822
BBWI,36.48425409210823,18.443531158181948
BBY,65.71713815765156,26.131320856952584
BC,45.91927275353025,50.466466473155684
BCAT,27.741944882197867,52.895791608869104
BCC,38.19437743409723,34.40648216109969
BCO,63.67950773722918,33.06823348102421
BCSF,49.988614524222456,31.413174282902336
BCX,46.633755156990475,56.56351104460746
BDC,62.60158718002297,37.115065715310934
BDJ,34.1909203126614,20.025083026563536
BDN,53.344613314036785,50.75479350707076
BDX,67.33058185143547,51.36607261262466
BE,55.87310549080899,58.204590051987374
